id,name,age,home,activities,טלפון_נייד_פרטי,טלפון_נייד_עבודה,facebook,linkedin,instagram,x,tiktok,homepage,telegram,youtube,תאריך_איסוף
amirh,ד״ר אמיר ח׳ניפס,51,שפרעם,יושב ראש המרכז הישראלי הדרוזי / דוקטור למדעי המדינה,,,,,https://www.facebook.com/AmirKhnifess/,https://www.linkedin.com/in/amir-khnifess-38568123/,https://www.instagram.com/amir_khnifess/,https://x.com/akhnifess,,,https://www.amirkhnifess.co.il/,,,2026-06-21
meheretabr,מהרטה ברוך רון,51,תל אביב יפו,סגנית רה״ע תל אביב יפו ופעילה חברתית,,,https://www.facebook.com/mehereta1,https://www.linkedin.com/in/mehereta-baruch-ron-71bb4525a/,https://www.instagram.com/mehereta.baruch.ron/,https://x.com/Meheretabr,,,,,2026-06-21
mossir,מוסי רז,60,שוהם,פעיל שלום וסביבה / רואה חשבון / ח״כ לשעבר,,,https://www.facebook.com/mossi.raz.9,https://www.linkedin.com/in/mossi-raz-22360317/,https://www.instagram.com/mossi_raz/,https://x.com/mossi_raz,,,,,2026-06-21
tomera,תומר אביטל,43,תל אביב,מרצה לחשיבה ביקורתית ומוביל ב׳עוגן לעתיד׳,,,https://www.facebook.com/tomer.avital1,https://www.linkedin.com/in/tomer-avital-52795315/,https://www.instagram.com/tomeravital100/,https://www.twitter.com/TomerAvital1,https://www.tiktok.com/@tomeravital1,https://tomeravital1.com/about/,https://www.t.me/tomeravital1,https://www.youtube.com/c/tomeravital,2026-06-21
inbar_b,ענבר בזק,52,יובלים,לשעבר חברת כנסת ומנכ״לית החברה הכלכלית לפיתוח הגליל העליון,,,https://www.facebook.com/share/17zDZwJZsy/,https://www.linkedin.com/in/inbarbezek,https://www.instagram.com/inbar.bezek/,https://x.com/InbarBezek,https://www.tiktok.com/@inbarbezek,https://inbarbezek.com,,,2026-06-21
hadas_r,הדס רגולסקי,52,תל אביב-יפו,חברת מועצת העיר ת״א יפו,,,https://www.facebook.com/share/1FJub5Diyv/,https://www.linkedin.com/in/hadas-ragolsky-0ab73491,https://www.instagram.com/hadasragolsky,https://x.com/hragolsky,https://www.tiktok.com/@hragolsky,https://Hadasragolsky.com,,,2026-06-21
somaya_b,סומיה בשיר,50,ג'ת,פעילה חברתית ומנהיגה אזרחית / שותפות ערבית-יהודית,,,https://www.facebook.com/share/r/1B2hxN3t27/,https://www.linkedin.com/in/somaya-bashir-940b4125a,https://www.instagram.com/bashirsomaya,https://x.com/bashsomaya,https://www.tiktok.com/@humanity10.2022,,,,,2026-06-21
galeb_s,גאלב סלאמנה,32,כעביה,"עו""ד",,,https://www.facebook.com/share/1AmCHAToev/,,https://www.instagram.com/slamna_ghaleb_adv,https://x.com/LbMnh,https://www.tiktok.com/@ghaleb.s,,,,2026-06-21
dany_e,דני אלגרט,65,גן יבנה,סנ״צ בדימוס מזרחן / משפטן,,,https://www.facebook.com/elgarat.dany,,,https://x.com/elgarat_dani,https://www.tiktok.com/@user6830107222467,,,,2026-06-21
lee_h,לי הופמן אגיב,38,הוד השרון,אקטיביסטית חברתית,,,https://www.facebook.com/share/18DFcMhFGH/,,https://www.instagram.com/leehoffmann_agiv,https://x.com/leehoffmannagiv,https://www.tiktok.com/@leehoffmannagiv,,,,2026-06-21
